Region,Altitude,Order,Type,MMU,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,LOIT,FE1,SI1,P1,AL1,MN1,LOI1,FE2,SI2,P2,AL2,MN2,LOI2,FE3,SI3,P3,AL3,MN3,LOI3
region_1,100,3,1,region_1#100#3#1,1326,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_1,100,3,2,region_1#100#3#2,2477,21.55,24.74,53.71,55.85,11.08,0.10,2.00,2.02,4.14,59.27,3.23,0.15,2.16,2.79,5.95,60.20,3.39,0.13,1.78,2.65,4.76,52.48,17.76,0.07,2.04,1.42,3.13
region_1,90,2,1,region_1#90#2#1,10416,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_1,90,3,1,region_1#90#3#1,139370,4.50,11.93,48.73,25.58,26.54,0.02,0.73,0.46,0.72,49.44,24.47,0.04,0.83,1.69,1.49,57.37,13.73,0.04,0.88,1.17,1.36,33.89,48.84,0.02,1.20,0.50,1.01
region_1,90,3,2,region_1#90#3#2,7120,23.68,29.67,46.64,62.23,2.70,0.08,2.80,0.89,4.15,59.89,1.80,0.10,4.99,0.83,6.53,62.86,1.40,0.09,2.66,1.09,4.45,63.01,3.98,0.06,1.78,0.79,2.76
region_1,90,3,3,region_1#90#3#3,8867,10.62,20.43,68.94,48.21,21.63,0.05,2.17,3.10,2.84,50.88,8.47,0.10,4.03,6.08,5.91,55.71,6.47,0.07,2.17,5.35,3.75,45.58,28.15,0.04,1.89,1.98,2.09
region_1,90,3,4,region_1#90#3#4,30442,6.72,17.77,75.52,42.89,35.42,0.04,1.03,0.60,1.36,53.75,19.74,0.06,0.56,0.69,1.81,60.76,9.46,0.05,0.69,0.78,1.50,37.72,42.93,0.04,1.15,0.55,1.29
region_1,80,1,1,region_1#80#1#1,173956,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_1,80,1,3,region_1#80#1#3,58083,24.26,22.46,53.28,45.92,29.83,0.04,1.58,0.21,2.56,56.52,12.34,0.05,2.20,0.20,4.16,61.36,7.61,0.04,1.34,0.32,2.74,34.59,47.17,0.03,1.40,0.17,1.75
region_1,80,2,1,region_1#80#2#1,251921,0.20,0.26,1.13,0.63,0.55,0.00,0.05,0.02,0.04,52.96,8.86,0.06,2.82,5.50,4.18,58.38,11.54,0.04,1.30,1.29,1.69,33.43,44.75,0.06,3.64,0.66,2.56
region_1,80,2,4,region_1#80#2#4,24488,8.24,27.73,64.03,43.89,34.91,0.03,0.90,0.41,0.92,51.49,24.95,0.02,0.46,0.51,0.73,59.35,13.07,0.02,0.48,0.44,0.59,36.22,45.64,0.03,1.14,0.39,1.09
region_1,80,3,1,region_1#80#3#1,294435,4.86,15.80,74.87,39.37,35.42,0.03,1.28,0.90,1.35,49.64,20.89,0.06,1.61,2.63,2.77,57.57,12.74,0.04,0.95,1.56,1.49,37.21,43.26,0.03,1.41,0.70,1.31
region_1,80,3,2,region_1#80#3#2,27207,10.13,24.91,64.96,56.21,16.12,0.03,1.41,0.66,1.49,63.80,3.67,0.03,1.28,1.23,1.53,62.71,4.94,0.04,1.30,1.04,1.73,52.53,22.35,0.03,1.47,0.43,1.39
region_1,80,3,3,region_1#80#3#3,90095,6.97,17.83,75.20,45.22,26.70,0.05,2.05,2.81,2.56,49.43,11.97,0.08,2.33,6.97,4.72,55.35,8.38,0.06,1.64,5.06,3.27,42.43,32.41,0.04,2.12,1.90,2.19
region_1,80,3,4,region_1#80#3#4,465669,6.25,18.94,74.81,43.90,33.60,0.03,1.17,0.72,1.36,52.93,19.43,0.05,1.24,1.25,2.02,60.11,10.98,0.03,0.68,0.74,1.12,39.04,40.51,0.03,1.28,0.67,1.36
region_1,70,1,1,region_1#70#1#1,136287,4.68,2.02,2.02,4.58,2.10,0.00,0.03,0.02,0.04,56.40,18.88,0.01,0.20,0.08,0.33,61.31,11.14,0.02,0.33,0.34,0.50,34.50,48.96,0.02,0.70,0.25,0.79
region_1,70,1,2,region_1#70#1#2,3189,34.40,16.21,49.39,57.07,16.69,0.02,0.60,0.04,0.97,63.57,7.19,0.02,0.47,0.02,1.17,63.08,7.18,0.02,0.79,0.08,1.40,50.57,26.43,0.01,0.63,0.03,0.69
region_1,70,1,3,region_1#70#1#3,23744,27.13,22.99,49.87,47.02,27.99,0.04,2.05,0.13,2.40,56.39,12.80,0.05,2.66,0.12,3.51,61.69,7.31,0.04,1.71,0.18,2.32,35.16,45.79,0.03,1.88,0.10,1.83
region_1,70,2,1,region_1#70#2#1,227585,1.22,2.31,6.59,4.22,3.72,0.00,0.11,0.08,0.13,53.48,19.55,0.03,0.81,1.24,1.32,57.16,14.99,0.03,0.57,1.10,1.03,34.20,47.59,0.03,1.36,0.66,1.29
region_1,70,2,3,region_1#70#2#3,2440,6.08,29.09,64.83,47.96,24.75,0.04,1.17,2.78,1.80,58.67,7.99,0.03,0.57,4.18,1.52,62.99,4.20,0.03,0.30,3.36,1.10,40.21,35.55,0.04,1.61,2.38,2.14
region_1,70,2,4,region_1#70#2#4,79021,10.15,23.36,66.50,43.66,34.80,0.03,1.09,0.51,1.07,54.04,20.29,0.02,0.62,0.74,0.96,58.57,13.44,0.02,0.68,0.74,0.90,36.84,44.52,0.03,1.31,0.39,1.14
region_1,70,3,1,region_1#70#3#1,140705,6.99,15.71,77.30,41.54,36.97,0.03,1.22,0.80,1.28,49.06,23.47,0.05,1.70,1.71,2.21,58.48,12.73,0.02,0.73,1.16,1.06,37.42,43.11,0.03,1.27,0.64,1.24
region_1,70,3,2,region_1#70#3#2,6194,14.22,26.81,58.97,57.97,13.60,0.03,1.22,0.56,1.51,64.56,3.90,0.03,0.96,0.44,1.82,64.00,4.33,0.03,0.95,0.72,1.36,53.64,20.15,0.03,1.40,0.51,1.50
region_1,70,3,4,region_1#70#3#4,609932,7.53,18.27,74.20,44.53,32.57,0.03,1.27,0.71,1.40,52.22,19.86,0.05,1.39,1.31,2.18,59.37,11.86,0.03,0.72,0.76,1.20,40.10,38.96,0.03,1.39,0.64,1.36
region_1,60,1,1,region_1#60#1#1,59032,0.46,0.50,1.63,1.06,0.98,0.00,0.02,0.02,0.03,57.71,13.64,0.03,0.91,0.90,1.24,59.08,11.21,0.03,0.69,1.39,1.29,30.90,52.98,0.03,0.97,0.47,0.98
region_1,60,1,2,region_1#60#1#2,3039,36.53,17.87,45.60,59.72,10.53,0.04,1.18,0.07,2.82,62.13,6.08,0.04,1.32,0.02,3.79,64.51,3.67,0.04,0.99,0.15,2.98,55.90,16.78,0.03,1.14,0.07,1.99
region_1,60,1,3,region_1#60#1#3,49495,27.34,13.90,58.75,51.15,16.91,0.07,4.39,0.11,5.19,53.94,10.82,0.10,4.41,0.18,7.08,57.01,8.62,0.08,3.58,0.09,5.58,48.47,21.71,0.05,4.57,0.08,4.22
region_1,60,1,4,region_1#60#1#4,25013,21.22,22.29,56.49,44.95,32.97,0.03,1.15,0.27,1.19,57.06,15.33,0.03,1.20,0.25,1.45,61.61,9.17,0.03,0.88,0.40,1.25,33.83,48.98,0.03,1.23,0.23,1.07
region_1,60,2,1,region_1#60#2#1,224639,3.90,6.02,20.65,12.53,11.87,0.01,0.23,0.18,0.24,56.17,16.84,0.02,0.68,0.81,0.92,58.19,13.70,0.02,0.56,1.05,0.92,33.12,50.33,0.02,0.80,0.43,0.70
region_1,60,2,2,region_1#60#2#2,1422,23.90,23.66,52.44,60.76,10.59,0.02,1.07,0.22,0.98,66.63,2.57,0.02,0.65,0.08,0.93,65.27,3.68,0.03,0.97,0.43,1.17,56.06,17.36,0.02,1.31,0.19,0.91
region_1,60,2,3,region_1#60#2#3,4058,15.58,18.90,65.53,48.67,22.26,0.05,4.30,0.15,3.66,54.94,9.34,0.09,4.85,0.34,6.49,57.32,10.02,0.05,3.91,0.15,3.81,44.68,28.86,0.04,4.28,0.10,2.95
region_1,60,2,4,region_1#60#2#4,107762,10.82,19.73,69.46,44.10,34.44,0.03,0.98,0.44,0.94,57.90,14.93,0.02,0.63,0.61,0.82,60.44,10.75,0.03,0.73,0.74,1.00,37.30,44.21,0.03,1.11,0.32,0.94
region_1,60,3,1,region_1#60#3#1,111291,8.18,16.08,73.95,40.66,36.55,0.02,1.07,0.91,1.08,52.86,18.48,0.04,1.46,1.94,1.76,60.05,10.55,0.02,0.66,1.38,0.87,36.08,45.08,0.02,1.14,0.72,1.08
region_1,60,3,3,region_1#60#3#3,2624,21.42,15.26,63.32,46.93,24.68,0.07,3.28,0.44,4.28,53.71,15.15,0.09,1.83,0.06,6.29,56.75,10.29,0.08,2.34,0.50,4.96,42.26,31.37,0.05,4.00,0.55,3.44
region_1,60,3,4,region_1#60#3#4,453539,8.10,16.96,74.94,44.52,32.69,0.03,1.27,0.65,1.32,54.55,16.28,0.05,1.50,1.36,2.16,59.43,11.62,0.03,0.77,0.79,1.20,40.06,39.23,0.03,1.36,0.54,1.26
region_1,50,1,1,region_1#50#1#1,21442,14.07,11.44,74.49,41.06,39.51,0.02,0.68,0.15,0.66,58.07,14.44,0.03,0.97,0.23,1.18,61.66,9.21,0.03,0.78,0.47,1.21,34.68,48.90,0.02,0.61,0.09,0.48
region_1,50,1,2,region_1#50#1#2,8790,30.63,18.47,50.90,57.97,14.29,0.02,1.47,0.06,1.16,65.28,3.56,0.02,1.17,0.03,1.25,61.58,6.99,0.03,1.90,0.12,2.10,52.27,23.39,0.02,1.49,0.05,0.76
region_1,50,1,4,region_1#50#1#4,5395,19.50,15.12,65.37,42.46,37.56,0.02,0.72,0.10,0.73,56.99,16.17,0.03,1.01,0.11,1.19,61.81,9.46,0.03,0.77,0.26,1.07,33.65,50.44,0.02,0.63,0.06,0.51
region_1,50,2,1,region_1#50#2#1,219852,18.51,17.07,64.25,41.20,39.14,0.02,0.71,0.19,0.61,55.08,19.88,0.02,0.52,0.17,0.65,58.01,15.06,0.02,0.69,0.30,0.79,32.84,51.18,0.02,0.77,0.16,0.55
region_1,50,2,2,region_1#50#2#2,10316,27.17,21.98,50.86,59.96,11.44,0.02,1.19,0.17,1.26,65.54,3.30,0.02,0.93,0.06,1.55,64.42,4.37,0.03,1.16,0.36,1.54,55.06,18.84,0.02,1.34,0.15,0.98
region_1,50,2,3,region_1#50#2#3,244817,14.05,18.88,67.07,45.58,27.50,0.04,4.00,0.10,3.25,53.42,13.30,0.08,4.21,0.20,5.75,55.30,13.26,0.05,3.80,0.12,3.67,41.20,34.49,0.03,4.02,0.07,2.61
region_1,50,3,1,region_1#50#3#1,122754,8.48,17.02,74.50,41.25,37.13,0.02,1.17,0.88,1.09,53.26,17.86,0.03,1.34,1.97,1.85,57.33,13.53,0.02,0.85,1.49,1.15,36.21,44.72,0.02,1.22,0.61,0.98
region_1,50,3,4,region_1#50#3#4,354659,11.77,17.54,70.70,43.77,34.27,0.03,1.02,0.65,1.10,54.50,18.07,0.03,0.93,1.21,1.41,59.32,11.72,0.03,0.70,0.94,1.13,38.12,42.56,0.02,1.11,0.48,1.04
region_2,100,1,3,region_2#100#1#3,2998,25.78,17.59,56.63,47.60,24.94,0.06,1.89,0.05,4.50,50.77,19.95,0.09,1.46,0.09,5.32,56.01,12.63,0.08,1.75,0.05,5.14,43.55,31.04,0.05,2.13,0.03,3.92
region_2,100,2,1,region_2#100#2#1,60093,14.59,2.58,4.82,9.54,7.34,0.01,0.13,0.07,0.68,46.50,28.86,0.06,0.46,0.28,3.40,54.02,18.14,0.07,0.56,0.71,2.93,28.43,55.22,0.05,0.97,0.31,2.16
region_2,100,2,2,region_2#100#2#2,15342,19.14,26.47,54.39,58.33,11.32,0.08,1.56,0.16,3.28,62.22,3.10,0.16,1.82,0.16,5.65,64.52,2.57,0.08,1.21,0.17,3.38,53.95,18.47,0.05,1.63,0.15,2.39
region_2,100,2,3,region_2#100#2#3,433880,31.94,18.36,49.70,47.51,24.96,0.09,2.14,0.25,4.29,51.42,19.14,0.12,1.35,0.35,5.25,57.85,9.97,0.11,1.77,0.33,4.72,41.19,34.24,0.06,2.79,0.15,3.52
region_2,100,3,2,region_2#100#3#2,52344,26.91,25.07,48.02,60.58,7.11,0.11,1.76,0.08,4.31,62.79,2.02,0.16,1.92,0.07,5.98,63.77,2.33,0.12,1.44,0.08,4.87,57.68,12.45,0.07,1.85,0.08,3.09
region_2,100,3,3,region_2#100#3#3,91115,61.24,13.02,25.74,48.33,23.56,0.14,1.49,0.26,5.32,50.51,20.60,0.16,0.92,0.28,5.80,55.22,12.61,0.17,1.53,0.29,6.09,39.68,36.13,0.08,2.84,0.22,3.79
region_2,100,3,4,region_2#100#3#4,110614,21.46,21.26,57.28,44.88,31.05,0.06,1.01,0.71,2.68,57.06,11.35,0.09,1.01,1.10,4.29,59.72,8.38,0.08,0.92,1.25,3.49,34.81,46.84,0.04,1.04,0.36,1.78
region_2,50,1,1,region_2#50#1#1,100041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,100,3,1,region_3#100#3#1,8666,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,100,5,1,region_3#100#5#1,19835,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,100,5,2,region_3#100#5#2,1809,73.62,17.07,9.31,60.16,4.66,0.07,5.20,0.14,3.09,64.47,2.50,0.05,2.65,0.09,1.70,53.70,8.05,0.10,8.93,0.22,5.37,37.99,15.56,0.15,18.56,0.33,9.91
region_3,100,6,1,region_3#100#6#1,18385,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,90,3,1,region_3#90#3#1,36437,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,90,5,1,region_3#90#5#1,46853,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,90,5,3,region_3#90#5#3,27547,31.91,33.78,34.31,51.25,7.60,0.06,11.03,0.07,7.17,62.33,3.06,0.07,3.95,0.07,3.60,52.57,7.49,0.06,9.96,0.06,6.64,39.65,11.92,0.06,18.68,0.08,11.01
region_3,90,6,1,region_3#90#6#1,23490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,90,6,3,region_3#90#6#3,45049,22.03,43.31,34.66,50.52,9.97,0.05,10.47,0.07,6.27,60.55,4.65,0.05,4.83,0.07,3.32,52.38,8.32,0.05,9.80,0.07,6.14,41.83,15.41,0.06,14.88,0.06,8.31
region_3,90,7,1,region_3#90#7#1,48236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,90,7,3,region_3#90#7#3,40330,17.42,41.87,40.71,50.83,10.26,0.05,9.57,0.47,5.97,58.94,5.25,0.05,5.38,0.45,3.97,52.95,8.13,0.05,9.21,0.29,5.85,45.18,14.58,0.06,11.73,0.66,6.95
region_3,80,1,1,region_3#80#1#1,45636,33.32,20.44,46.24,41.43,32.93,0.06,3.12,1.50,2.61,48.65,20.46,0.07,3.13,2.60,3.14,49.77,18.58,0.07,3.95,2.09,3.46,32.55,48.25,0.04,2.74,0.45,1.85
region_3,80,1,2,region_3#80#1#2,15472,27.95,23.45,48.60,57.69,13.72,0.03,1.51,0.72,1.11,64.33,3.27,0.04,1.32,1.42,1.29,64.81,3.73,0.03,1.26,0.73,1.07,50.43,24.55,0.03,1.74,0.32,1.03
region_3,80,1,3,region_3#80#1#3,74173,25.18,22.80,52.02,45.35,29.37,0.05,2.47,0.86,2.01,53.94,15.74,0.07,2.65,1.33,2.49,55.65,13.07,0.06,2.84,1.39,2.51,36.67,43.11,0.04,2.22,0.40,1.56
region_3,80,2,1,region_3#80#2#1,2476,30.89,23.76,45.35,41.51,32.55,0.07,2.58,1.92,2.61,50.35,17.54,0.08,2.60,3.25,3.21,52.18,15.51,0.08,2.86,2.65,3.05,29.90,51.69,0.05,2.42,0.63,1.98
region_3,80,2,3,region_3#80#2#3,29654,35.22,27.85,36.93,46.38,14.18,0.12,5.32,5.70,5.58,48.95,9.44,0.12,4.34,7.30,5.55,48.89,9.20,0.14,5.81,5.89,6.21,42.03,22.45,0.11,5.90,4.02,5.14
region_3,80,2,4,region_3#80#2#4,27214,23.89,24.21,51.90,44.57,32.30,0.04,1.63,0.60,1.47,57.85,12.76,0.04,1.81,0.88,1.58,57.85,12.57,0.05,1.78,1.00,1.66,32.27,50.50,0.04,1.48,0.30,1.34
region_3,80,3,1,region_3#80#3#1,47792,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,80,3,2,region_3#80#3#2,28776,58.45,21.87,19.69,62.35,3.27,0.09,3.35,0.74,2.53,64.44,2.03,0.08,2.33,0.76,1.97,61.68,3.32,0.12,3.61,0.83,3.00,56.91,6.89,0.09,6.09,0.59,3.66
region_3,80,3,3,region_3#80#3#3,18534,35.78,24.00,40.22,49.22,17.43,0.08,3.59,3.25,3.71,56.73,6.58,0.08,3.02,3.82,3.64,55.18,8.55,0.10,3.67,3.27,4.14,38.99,32.40,0.06,4.06,2.72,3.51
region_3,80,5,1,region_3#80#5#1,44724,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,80,5,2,region_3#80#5#2,41250,41.48,29.35,29.17,55.97,5.06,0.08,7.67,0.16,6.49,62.13,2.20,0.10,3.69,0.23,4.89,56.62,5.14,0.08,7.20,0.12,6.13,46.57,9.04,0.07,13.80,0.12,9.13
region_3,80,6,1,region_3#80#6#1,17017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,80,6,2,region_3#80#6#2,5003,30.95,34.80,34.25,52.00,6.85,0.05,10.62,0.27,6.94,62.58,2.54,0.05,3.43,0.58,3.49,53.87,6.69,0.04,9.18,0.17,6.12,40.55,10.92,0.05,18.57,0.10,10.90
region_3,80,7,1,region_3#80#7#1,41115,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,80,7,3,region_3#80#7#3,32302,24.54,40.37,35.09,49.77,9.67,0.05,11.02,0.22,6.85,60.01,4.49,0.05,4.66,0.54,3.76,51.43,8.51,0.05,10.28,0.13,6.62,40.70,14.64,0.05,16.33,0.08,9.27
region_3,80,8,1,region_3#80#8#1,18583,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,70,1,4,region_3#70#1#4,93592,37.31,21.89,40.80,44.32,29.73,0.06,2.87,1.08,2.38,51.52,18.59,0.08,2.82,1.49,2.68,51.91,16.84,0.07,3.57,1.53,3.01,33.67,46.83,0.05,2.55,0.48,1.76
region_3,70,2,1,region_3#70#2#1,27344,30.71,23.77,45.52,39.90,34.64,0.06,3.40,1.18,2.87,51.24,18.29,0.07,3.14,1.33,2.97,50.90,17.79,0.07,3.47,1.66,3.26,26.52,54.47,0.05,3.53,0.83,2.59
region_3,70,2,2,region_3#70#2#2,19682,39.40,28.54,32.07,60.24,8.64,0.07,1.84,0.84,2.03,64.88,2.55,0.08,1.27,0.88,1.97,63.33,3.88,0.09,1.67,1.11,2.10,51.78,20.36,0.06,2.68,0.56,2.03
region_3,70,2,3,region_3#70#2#3,30173,41.73,25.09,33.18,47.65,18.00,0.09,3.77,3.91,4.11,50.79,11.79,0.09,3.40,5.15,4.35,51.86,10.02,0.11,4.48,4.29,4.86,40.52,31.85,0.07,3.70,2.07,3.22
region_3,70,2,4,region_3#70#2#4,16540,37.81,18.94,43.25,44.78,32.73,0.05,1.40,0.47,1.20,54.72,18.84,0.05,1.04,0.51,1.13,58.31,11.95,0.07,1.57,0.88,1.83,30.17,53.97,0.03,1.64,0.25,1.00
region_3,70,3,1,region_3#70#3#1,5836,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,70,3,2,region_3#70#3#2,56052,74.39,16.27,9.33,62.26,2.67,0.14,3.08,0.58,4.05,63.76,1.92,0.12,2.37,0.55,3.50,60.11,3.18,0.19,3.90,0.67,5.50,54.09,7.84,0.16,7.39,0.64,5.81
region_3,70,3,3,region_3#70#3#3,53528,38.48,23.96,37.55,51.78,9.59,0.11,3.67,5.13,5.05,54.07,3.50,0.10,3.78,6.72,5.43,55.84,4.10,0.15,3.75,4.54,5.70,46.83,19.32,0.09,3.51,3.88,4.25
region_3,70,5,1,region_3#70#5#1,101180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,70,5,2,region_3#70#5#2,898,38.38,34.35,27.28,58.17,4.54,0.06,6.68,0.08,4.93,63.92,2.03,0.06,3.02,0.08,3.23,60.30,3.83,0.06,5.22,0.07,4.20,47.39,8.96,0.07,13.67,0.09,8.23
region_3,70,6,1,region_3#70#6#1,84168,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,70,6,3,region_3#70#6#3,86048,22.18,36.40,41.42,50.36,7.49,0.05,12.08,0.08,7.36,63.00,3.39,0.04,3.53,0.10,2.75,54.56,6.42,0.04,8.95,0.06,5.79,39.89,10.62,0.06,19.40,0.09,11.20
region_3,70,7,1,region_3#70#7#1,282796,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,70,7,3,region_3#70#7#3,23111,17.46,42.87,39.66,48.99,10.30,0.05,11.57,0.09,6.93,60.76,4.77,0.04,4.67,0.08,3.11,50.72,8.95,0.05,10.70,0.07,6.79,41.92,14.19,0.05,15.54,0.10,8.76
region_3,70,8,1,region_3#70#8#1,37068,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,70,8,2,region_3#70#8#2,2719,61.41,23.72,14.88,56.09,6.74,0.06,8.17,0.32,4.52,61.76,3.08,0.05,5.50,0.11,3.29,50.99,9.74,0.07,10.64,0.62,5.70,40.82,17.08,0.08,15.30,0.72,7.77
region_3,60,2,1,region_3#60#2#1,6074,10.86,19.76,69.38,23.48,56.16,0.07,3.99,1.95,3.24,33.73,32.14,0.07,6.70,5.15,5.26,38.37,33.04,0.06,4.40,2.59,3.66,17.63,66.50,0.07,3.46,1.26,2.80
region_3,60,2,2,region_3#60#2#2,11482,36.83,29.11,34.06,62.69,5.62,0.07,1.61,0.70,1.92,65.65,2.13,0.07,1.03,0.70,1.73,64.19,3.24,0.08,1.50,0.90,2.01,58.21,11.42,0.07,2.34,0.52,2.04
region_3,60,2,3,region_3#60#2#3,10725,30.43,17.18,52.39,45.40,32.81,0.03,1.02,0.33,0.91,60.16,11.87,0.03,0.57,0.45,0.89,58.70,12.82,0.04,1.09,0.59,1.30,32.46,51.52,0.02,1.25,0.17,0.79
region_3,60,2,4,region_3#60#2#4,10279,41.04,27.23,31.73,44.92,22.06,0.09,3.86,3.71,4.35,50.03,13.61,0.09,3.21,4.98,4.42,51.03,11.94,0.10,3.95,4.27,4.89,33.05,41.68,0.08,4.62,1.59,3.80
region_3,60,3,1,region_3#60#3#1,12263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,60,3,2,region_3#60#3#2,84824,59.82,21.42,18.76,61.12,2.48,0.19,2.76,0.77,5.76,51.91,1.49,0.16,1.89,0.82,4.99,104.20,3.95,0.37,5.13,1.14,10.81,56.27,7.88,0.15,4.29,1.01,5.44
region_3,60,5,1,region_3#60#5#1,115213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,60,5,2,region_3#60#5#2,37414,39.01,32.84,28.15,64.95,1.69,0.06,1.62,0.49,2.46,65.51,0.89,0.08,1.01,0.52,3.01,65.79,1.33,0.05,1.34,0.48,2.00,63.20,3.23,0.05,2.79,0.47,2.24
region_3,60,6,1,region_3#60#6#1,176760,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_3,60,6,2,region_3#60#6#2,32979,35.95,32.82,31.23,65.26,1.55,0.06,1.44,0.36,2.42,65.39,0.89,0.08,1.05,0.27,3.33,66.13,1.28,0.05,1.25,0.28,1.89,64.20,2.60,0.04,2.10,0.53,1.94
region_3,60,7,1,region_3#60#7#1,257916,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
